d3d_va,glide_va,class,matched_by,note
0x100193C0,0x10016980,renderer,callsite,"BUILD DIVERGENCE: D3D 0x100193D5 has `cmp [0x100B8C90],1 / jg` which Glide 0x10016995 lacks -- 207 B vs 198 B, the whole difference. Both readings are ported (br_font.c BrFontMeasure / slice6_76.c BrSub_100193C0)."
0x1001CD80,0x1001EB30,shared,body-dup:2,body-dup fixed by DISPATCH SLOT: 0x100A79F0[0xDF]==0x1001CD80 and 0x100A9A58[0xDF]==0x1001EB30. 0x1001CD60/0x1001EB10 are slot 0xDE and already correct; each image has exactly two handlers of this shape.
0x10022350,0x10022AC0,renderer,shape,"BUILD DIVERGENCE, not `shape`: Glide 0x10022B35 clamps to 0x437F0000==255.0f against 0x10077418; D3D 0x10022385 clamps to 0x3F800000==1.0f against 0x1008F3C4. Glide's iterated colour is 0..255, D3D's 0..1. Both bodies are ported (br_dl.c / slice2_16.c)."
0x1002C2C0,0x10019830,shared,body-dup:6,body-dup fixed: C++ static dtor thunk. 0x1002C2B0 (paired 0x10019820) pushes 0x1002C2C0; 0x10019820 pushes 0x10019830. Objects 0x106806B0/0x105BC858; dtors 0x10075240/0x1006E4A0 already paired `body`.
0x10037A90,0x10031140,renderer,callsite,"BUILD DIVERGENCE: Glide 0x10031140 loads "".hnt"" (0x100AA338), D3D loads "".hnd"" (0x100AABA8); neither literal is in the other image. The disc ships .hnt."
0x10038E90,0x10032500,shared,body-dup:6,"body-dup fixed: ctor thunk. jmp targets 0x10008580/0x10008760 are paired `body`; registrar 0x10038EA0 pushes 0x10038EB0, 0x10032510 pushes 0x10032520."
0x10038EA0,0x10032510,shared,body-dup:4,body-dup fixed: atexit registrar of the 0x10008580/0x10008760 triple (objects 0x10A99780/0x10AC0810).
0x10038EB0,0x10032520,shared,body-dup:6,body-dup fixed: dtor thunk; jmp targets 0x100085E0/0x100087C0 are paired `body`.
0x10069A60,0x10062AD0,shared,body-dup:6,"body-dup fixed: ctor thunk; jmp targets 0x10069A90/0x10062B00 are paired `body`. Was pointed at 0x10019810, which 0x1002C2A0 already claims."
0x10069A70,0x10062AE0,shared,body-dup:4,"body-dup fixed: atexit registrar; pushes 0x10069A80, Glide 0x10062AE0 pushes 0x10062AF0."
0x10069A80,0x10062AF0,shared,body-dup:6,"body-dup fixed: dtor thunk. Both jmp to a stub -- D3D 0x10008B80 (`ret`), Glide 0x10008D60 (`c3`)."
0x10071600,0x1006A570,shared,body-dup:4,"body-dup fixed: atexit registrar; pushes 0x10071610, paired `body` with Glide 0x1006A580, which 0x1006A570 pushes."
0x10079680,,d3d_only,body-dup:6,"body-dup REMOVED: no Glide counterpart. Object 0x118ABE10, ctor 0x1001BA00 is class `unknown` with no glide_va. BRGlide has exactly four atexit registrars (0x10019820/0x10032510/0x10062AE0/0x1006A570) and all four are claimed by other D3D triples, so this triple is D3D-only."
0x10079690,,d3d_only,body-dup:4,body-dup REMOVED: no Glide counterpart -- see 0x10079680.
0x100796A0,,d3d_only,body-dup:6,body-dup REMOVED: no Glide counterpart -- see 0x10079680.
0x1007AC00,0x10058F90,renderer,callsite,"NOT byte-equal: D3D 22 B has a `call 0x1007A840 / test / ret` guard, Glide 0x10058F90 is 12 B with none. 0x1007A840 is class `unknown` and absent from BRGlide. Callees 0x1007A940/0x10058E20 ARE paired `body`."
